id,entity,sector,email,incorporation,address,revenue (million),website,is verified
1,Zava,n/a,lmatieu0@google.it,1996-09-27,57532 Carioca Lane,,,false
2,Trilia,n/a,lprall1@cisco.com,2016-10-28,81080 Florence Terrace,$72.68,google.com.au,false
3,Wikibox,Consumer Services,hscougal2@goo.gl,2019-07-04,9944 Bluejay Circle,$2.24,hao123.com,true
4,Gabspot,n/a,ptownshend3@shareasale.com,2019-12-03,2298 Warrior Trail,$31.35,,true
5,Cogilith,Transportation,sruzek4@businesswire.com,1999-06-04,,,,true
6,Zoozzy,Consumer Services,ewesthofer5@ow.ly,2022-08-03,,,,false
7,Jabberstorm,Finance,cbiaggioli6@phoca.cz,1995-08-04,48 Hooker Trail,$22.95,,true
8,Voolia,Consumer Services,pkettlestringes7@vkontakte.ru,2024-03-14,,$14.84,china.com.cn,true
9,Jaxbean,Capital Goods,ttorrisi8@infoseek.co.jp,2011-07-24,27 Blue Bill Park Terrace,$77.22,mail.ru,false
10,Jayo,n/a,jmcarthur9@webnode.com,2006-05-28,,$52.84,army.mil,false
11,Photobug,Transportation,pstandisha@joomla.org,1998-12-25,9 Vahlen Point,$26.20,godaddy.com,false
12,Zoovu,Miscellaneous,blonderb@about.me,2016-11-30,68 Johnson Pass,$87.70,tmall.com,false
13,Quimba,Consumer Durables,gchesec@skyrock.com,1996-12-13,3475 Del Mar Place,$10.81,,false
14,Skimia,Public Utilities,kpined@dailymotion.com,2012-09-11,02 Caliangt Terrace,,,true
15,Realfire,Consumer Durables,mcastledinee@last.fm,2006-12-29,,$54.38,weebly.com,true
16,Edgeblab,Miscellaneous,kffoulkesf@gizmodo.com,2011-10-22,,$20.06,discuz.net,true
17,Voonix,Finance,kcroweg@facebook.com,2022-08-02,364 Holy Cross Point,$86.93,newsvine.com,false
18,Jaxspan,Consumer Services,gcaronh@smh.com.au,2019-05-19,204 8th Park,$74.53,usda.gov,true
19,InnoZ,Energy,edashi@mit.edu,2017-05-28,08312 Corben Center,$31.59,mtv.com,false
20,Quamba,Technology,lbrookwellj@youtube.com,2009-06-29,681 Sutteridge Street,,marketwatch.com,false
21,Twiyo,Consumer Services,kpitrellik@elpais.com,2010-12-02,,$74.41,ucoz.com,false
22,Browsecat,Capital Goods,npetzoltl@chicagotribune.com,2002-03-03,,,qq.com,false
23,Browsetype,Finance,ludym@unblog.fr,2014-10-19,1 Clemons Hill,$70.01,,true
24,Skinix,Finance,pseebrightn@guardian.co.uk,2023-12-10,,,nymag.com,true
25,Tavu,Finance,jsimlao@wsj.com,2011-12-11,,$25.31,mozilla.org,false
26,Devcast,n/a,jpauwelp@bigcartel.com,2008-12-09,3541 Forest Drive,$72.46,ebay.com,false
27,Twinte,Health Care,cgirkinq@marriott.com,2001-03-27,,$83.92,umich.edu,true
28,Wikizz,Consumer Durables,lpenderedr@mtv.com,2015-09-15,,$84.46,sciencedaily.com,false
29,Eamia,Consumer Non-Durables,dmearings@prnewswire.com,2021-02-23,,$4.17,un.org,false
30,Eare,Energy,ksummerrellt@pcworld.com,2015-11-06,,$11.36,,false
31,Skalith,n/a,nlivingsu@addtoany.com,2001-01-03,1 Tennyson Way,$63.27,de.vu,true
32,Browsezoom,Energy,uvanwaadenburgv@posterous.com,2018-07-19,,$87.83,time.com,true
33,Gevee,Health Care,bdanilovicw@ftc.gov,2000-04-08,,,hatena.ne.jp,true
34,Fliptune,n/a,aerrichiellox@icio.us,2011-01-15,,$48.94,spotify.com,true
35,Gabspot,Finance,rboldy@apple.com,2010-06-29,,$17.41,blog.com,true
36,Omba,Consumer Services,bsobtkaz@reverbnation.com,2010-05-30,52975 Hoffman Court,,mail.ru,true
37,Mita,Basic Industries,swelds10@redcross.org,2023-04-25,135 Prentice Parkway,$10.22,eepurl.com,false
38,Meejo,Finance,mjacqueminet11@liveinternet.ru,2024-02-20,6 Shelley Circle,,wikimedia.org,true
39,Centidel,Basic Industries,gspellacey12@dell.com,2006-10-09,,$94.00,mtv.com,false
40,Ntags,n/a,gpinckney13@stumbleupon.com,2010-04-27,,$62.42,prnewswire.com,false
41,Katz,Basic Industries,mgrgic14@columbia.edu,2016-05-23,,$24.04,washingtonpost.com,true
42,Ainyx,n/a,rcurr15@aol.com,2010-03-09,,$95.25,slate.com,false
43,Buzzshare,n/a,gbaldack16@yahoo.com,2006-02-24,,,,true
44,Fanoodle,Health Care,bpartner17@ask.com,2012-12-05,,,arstechnica.com,true
45,Jayo,n/a,fwoofendell18@i2i.jp,2002-10-07,,,admin.ch,true
46,Mynte,Capital Goods,srigney19@merriam-webster.com,2003-04-24,,,slideshare.net,true
47,Skinder,Finance,ojearum1a@yahoo.co.jp,1994-04-16,881 Melody Place,$20.49,,true
